Land cov	pH	Soil_H2O	Bulk D	NO3	NH4	LOI	N (%)	C (%)	site_id
C	7.18	13.16648531	1.389670718	5.230619203	15.11493459	4.793333333	0.3567	2.0426	C1
C	6.6	15.26776771	1.264831813	37.54247125	19.56612046	6.867605634	0.6956	2.1008	C2
C	6.56	10.52325581	1.415223368	1.194685749	9.965012367	2.537109375	0.1811	1.018	C3
C	6.82	8.668341709	1.431567237	4.09703069	14.48926127	3.899262899	0.2025	1.7561	C4
C	6.9	20.27429934	1.119155639	2.762755189	47.24122709	7.821428571	0.5098	3.4858	C5
C	6.41	16.30695444	1.010663295	6.719699337	77.88820994	5.809195402	0.9294	2.1125	C6
C	7.03	20.09619506	1.071853039	1.91494502	9.005534063	4.415204678	0.4496	1.4587	C7
C	7.05	17.83884228	1.138427201	8.48960077	12.41585958	4.029227557	0.2876	1.8042	C8
O	7.22	21.6374269	1.34951016	0.435609997	31.26803569	3.186781609	0.4071	0.7312	O1
O	7.33	22.15078901	1.120606915	3.780135646	7.112262483	3.066473988	0.4261	0.734	O2
O	7.706	11.04910714	1.557189722	0.375180121	4.68173522	2.755274262	0.5615	0.7632	O3
O	7.41	15.58533421	1.101856835	9.899767927	-0.801576147	4.161445783	0.6258	2.0476	O4
O	8.5	10.00552792	1.689932227	-0.13011313	4.11775903	1.563146998	0.2608	0.5122	O5
O	9.05	11.0738255	1.48917897	6.054443084	8.779846203	2.749011858	0.0819	0.7738	O6
O	6.81	18.71592974	1.227951117	11.48288245	10.24424117	4.326034063	0.4409	1.4568	O7
O	8.39	14.46473326	1.373085027	7.342873555	6.676907316	2.205357143	0.201	0.2209	O8
A	6.176	18.99179367	1.427084302	7.604359188	7.357842616	3.272349272	0.1958	1.1092	A1
A	5.88	24.79616307	1.023578579	29.780502	32.97595131	11.834	0.2669	6.046	A2
A	6.42	26.43678161	0.891638079	12.66385306	17.34288666	8.3996139	0.7156	4.0353	A3
A	7.69	24.78653786	0.873945264	21.80079035	170.310948	7.597457627	0.0339	3.761	A4
A	8.56	21.38216184	1.048901441	7.991943184	11.29862023	6.235457064	0.378	2.9581	A5
A	8.96	18.22947001	1.29744493	19.07227906	5.344465083	4.524590164	0.6057	1.1824	A6
A	8.525	12.67605634	1.499221934	7.511346569	3.999690353	2.753807107	0.2126	0.5524	A7
A	8.54	11.05263158	1.284449611	9.641845532	4.328560202	4.515406162	0.2821	1.9209	A8
L	7.12	41.57963819	0.941532896	5.732181668	156.8161297	9.242718447	0.3973	4.2155	L1
L	7.82	26.1829653	0.962266958	6.108660117	40.44846609	15.83585859	0.0248	6.2135	L2
L	7.62	62.95707472	0.927434883	44.82794788	9.519384627	13.33776596	0.5429	6.5821	L3
L	8.21	54.98853635	0.756598867	21.56832925	8.968036676	13.10548523	0.7131	6.096	L4
L	7.595	65.33546326	0.695800911	25.63422011	29.46384628	15.37093275	0.1345	6.2259	L5
L	8	56.22083981	0.582750265	76.65124803	148.3791242	15.05649718	0.3152	8.9652	L6
L	8.08	51.21075294	0.745800903	39.05091545	104.827003	9	0.3306	4.0051	L7
L	8.21	51.21075294	0.880153383	59.89961086	13.40063407	13.91513761	0.5007	8.2099	L8
IC	8.66	12.33345151	1.832002649	2.167403992	13.1795213	1.752232143	0.0097	0.2531	IC1
IC	9.01	29.41847206	2.12935842	-1.078050016	8.308317115	1.023904382	0.1778	0.2111	IC6
IC	8.988	5.039787798	1.87656946	0.791723684	3.804966616	1.709323583	0.16	0.4249	IC7
IC	8.87	10.54564533	1.990945557	7.224829953	4.633558861	1.232905983	0.2571	0.0952	IC8
IA	8.98	10.90909091	1.786169267	1.240717256	3.736254803	1.406320542	0.3135	0.3854	IA1
IA	8.59	11.83628319	2.023558209	1.645982771	2.781159741	1.525	0.228	0.3263	IA2
IA	9.2	10.31317495	2.176552436	1.279396019	7.470999569	1.230769231	0.2814	0.2834	IA4
IA	8.93	13.09921962	1.564677953	0.849347996	4.822427456	1.099277978	0.4444	0.3175	IA8
